ID Material,Unidad de medida,Cantidad,Almacén,datos,ID Cliente,Nombre Cliente,Fecha,Nombre Material,Categoría 1,Categoría 2
24001,PC,-7000,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 24001,Cat 1,Familia 1
24001,PC,-2000,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45444,Material - 24001,Cat 1,Familia 1
24001,PC,-540,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45474,Material - 24001,Cat 1,Familia 1
24001,PC,-540,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45505,Material - 24001,Cat 1,Familia 1
24001,PC,-300,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45536,Material - 24001,Cat 1,Familia 1
24001,PC,-300,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45566,Material - 24001,Cat 1,Familia 1
24001,PC,-200,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45597,Material - 24001,Cat 1,Familia 1
24008,PC,-3204,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 24008,Cat 1,Familia 1
24008,PC,-480,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45474,Material - 24008,Cat 1,Familia 1
24008,PC,-96,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45536,Material - 24008,Cat 1,Familia 1
24008,PC,-192,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45597,Material - 24008,Cat 1,Familia 1
26005,PC,-7000,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 26005,Cat 1,Familia 2
27011,PC,-3360,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 27011,Cat 1,Familia 3
35026,PC,-798,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 35026,Cat 2,Familia 4
35026,PC,-200,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45505,Material - 35026,Cat 2,Familia 4
35026,PC,-200,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45597,Material - 35026,Cat 2,Familia 4
108512,PC,-4000,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 108512,Cat 3,Familia 5
108512,PC,-384,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45505,Material - 108512,Cat 3,Familia 5
108512,PC,-120,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45597,Material - 108512,Cat 3,Familia 5
108512,PC,-120,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45627,Material - 108512,Cat 3,Familia 5
108613,PC,-2000,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 108613,Cat 3,Familia 5
122010,PC,-6000,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 122010,Cat 3,Familia 6
278610,PC,-900,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 278610,Cat 1,Familia 7
350210,PC,-300,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 350210,Cat 2,Familia 4
350210,PC,-120,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45474,Material - 350210,Cat 2,Familia 4
350210,PC,-200,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45505,Material - 350210,Cat 2,Familia 4
350210,PC,-60,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45536,Material - 350210,Cat 2,Familia 4
350210,PC,-200,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45597,Material - 350210,Cat 2,Familia 4
350210,PC,-60,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45627,Material - 350210,Cat 2,Familia 4
352110,PC,-1872,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 352110,Cat 4,Familia 8
352110,PC,-200,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45597,Material - 352110,Cat 4,Familia 8
353611,PC,-440,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 353611,Cat 4,Familia 9
354300,PC,-440,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 354300,Cat 4,Familia 10
354311,PC,-570,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 354311,Cat 4,Familia 10
354311,PC,-120,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45597,Material - 354311,Cat 4,Familia 10
354411,PC,-200,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 354411,Cat 4,Familia 9
379230,PC,-3600,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 379230,Cat 5,Familia 11
379230,PC,-168,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45597,Material - 379230,Cat 5,Familia 11
392710,PC,-900,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 392710,Cat 4,Familia 10
392710,PC,-400,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45597,Material - 392710,Cat 4,Familia 10
464255,PC,-6576,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 464255,Cat 5,Familia 12
464255,PC,-120,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45474,Material - 464255,Cat 5,Familia 12
464255,PC,-156,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45536,Material - 464255,Cat 5,Familia 12
464255,PC,-300,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45566,Material - 464255,Cat 5,Familia 12
464255,PC,-120,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45597,Material - 464255,Cat 5,Familia 12
464355,PC,-1200,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 464355,Cat 5,Familia 12
464355,PC,-216,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45566,Material - 464355,Cat 5,Familia 12
468010,PC,-2832,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45352,Material - 468010,Cat 5,Familia 13
468010,PC,-250,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45474,Material - 468010,Cat 5,Familia 13
468010,PC,-312,M552,Forecast - Fcst V01,FMX_001,Cliente 001,45566,Material - 468010,Cat 5,Familia 13
